TICID,RA,Dec,Tmag,Keywords
101175205,299.0426,-49.9525,8.23,G03251
101177418,299.1061,-49.2539,11.38,G03251
101177686,299.1956,-49.6219,8.04,G03251
101233574,299.4594,-50.9777,9.35,G03251
101233724,299.4842,-51.2179,10.48,G03251
101273947,299.7775,-51.0981,9.47,G03251
101273949,299.7443,-51.0969,8.38,G03251
101277216,299.9569,-49.5714,9.49,G03251;G03212
101311292,300.0353,-50.2167,6.25,G03251
101312330,300.0498,-48.7486,7.21,G03251
101313393,300.2048,-48.5631,9.04,G03251
101354734,300.1814,-50.1462,9.64,G03251
101360288,300.4558,-49.2203,10.62,G03251
101400019,300.53,-49.982,8.52,G03251
101427186,300.8533,-50.5961,11.14,G03251
101452684,301.1149,-50.7493,8.99,G03251
101452735,301.2185,-50.6591,9.98,G03251
101452850,301.2333,-50.5176,10.45,G03251;G03212
101453390,301.1987,-49.7551,8.21,G03251
101456720,301.3758,-50.6879,10.9,G03251
101513065,301.6948,-47.8935,9.81,G03251
101580125,301.9147,-48.653,7.52,G03251
101618812,302.2413,-49.0785,8.48,G03251
101620796,302.5008,-49.5103,9.46,G03251
101621509,302.4958,-50.5362,10.64,G03251
101655107,302.7756,-49.1049,8.3,G03251
101655705,302.7139,-49.9759,9.12,G03251
101695210,303.0118,-50.7234,8.0,G03251
101697066,302.9111,-47.9971,9.9,G03251
101734412,303.2428,-48.9801,9.09,G03251
101735322,303.1803,-50.3117,7.52,G03251
101776646,303.3363,-48.8028,9.78,G03251
101777441,303.5604,-48.2063,8.49,G03251
101846822,303.9755,-48.4093,8.73,G03251
113353231,292.6967,-40.4552,7.93,G03251
113587868,293.5817,-41.722,10.15,G03251
114680194,293.9587,-40.498,8.39,G03251
114726565,294.0998,-40.8882,9.93,G03251
128677665,299.3772,-46.557,9.23,G03251
128679343,299.4057,-44.3053,9.56,G03251
128682240,299.5643,-43.2812,9.61,G03251
128706909,299.4389,-45.828,8.22,G03251
128709723,299.7446,-46.0878,6.98,G03251
128711864,299.6815,-43.1035,8.73,G03251
