TICID,RA,Dec,Tmag,Keywords
65672662,113.9908,-3.3683,7.97,G03186
68003064,115.8838,-4.6807,7.2,G03186
73039225,120.1839,-2.8819,6.49,G03186
178719204,125.3344,-1.6022,6.51,G03186
51033628,127.5853,-10.6162,8.77,G03186
62480591,132.3404,-3.4432,5.39,G03186
266656195,119.2666,2.9508,7.96,G03186
106413182,109.6969,-26.9519,8.92,G03186
106620517,110.2084,-29.8632,8.01,G03186
139385056,111.7478,-23.086,5.61,G03186
63672100,105.6987,-26.2429,9.17,G03186
64203888,106.4419,-25.0078,8.5,G03186
65909054,108.7296,-28.9644,7.51,G03186
66594335,109.45,-26.7976,6.58,G03186
81744320,107.0616,-23.4317,8.68,G03186
147244857,124.9085,-31.8235,8.74,G03186
153345163,120.7806,-29.4334,9.53,G03186
153430054,120.732,-27.2906,9.86,G03186
155573117,123.5154,-28.3239,10.59,G03186;G03059
271379300,125.3058,-26.3332,9.04,G03186
409791884,126.2516,-12.7648,7.01,G03186
187458882,110.5086,-8.9793,6.6,G03186;G03223
259449942,114.0162,-14.4928,5.76,G03186
332079835,120.2374,-13.7712,9.18,G03186
405216722,114.1762,-13.0638,9.03,G03186
405220654,114.1074,-14.4855,9.43,G03186
6110321,112.2555,-8.5483,10.51,G03186
6780465,113.2968,-11.6117,9.07,G03186
123211175,114.0597,-42.0822,8.29,G03186;G03059
123828144,116.0648,-43.0178,9.63,G03186;G03059
131104893,117.4676,-40.9145,7.14,G03186
140001327,127.2169,-42.5874,6.41,G03186
140132301,127.3362,-43.8422,9.32,G03186
143543729,118.2995,-45.2187,8.53,G03186
173956099,113.462,-40.9299,9.78,G03186
182214450,123.2112,-36.2281,7.75,G03186
183817680,126.1469,-40.7469,7.28,G03186
52929072,125.8454,-45.753,9.36,G03186
53301259,126.3241,-45.1626,9.1,G03186
80899869,122.1731,-42.0563,8.88,G03186
81615536,123.4401,-46.5787,6.67,G03186
81859368,123.7134,-46.4858,6.52,G03186
82370215,124.5117,-45.6421,10.26,G03186
23091719,109.659,-36.7427,5.3,G03186
29786229,109.9974,-40.4949,9.84,G03186;G03221
231942365,93.9856,-44.6196,8.59,G03186;G03209
238074236,104.678,-47.9883,10.41,G03186
123036723,113.5286,-46.6438,8.76,G03186;G03059;G03209
140300162,126.9603,-50.1,7.71,G03186
238265678,120.1393,-52.3536,9.25,G03186
238314189,120.5162,-50.5281,8.58,G03186
238791674,123.5852,-50.1628,9.94,G03186
268432793,116.9065,-53.1753,9.38,G03186
268502495,116.986,-51.656,8.73,G03186
285916305,119.753,-48.3763,6.95,G03186;G03209
286159211,123.9309,-48.3442,10.2,G03186
340633517,116.5,-56.1935,9.12,G03186;G03209
341419283,120.2078,-54.1512,6.0,G03186
341550561,120.5646,-55.5406,6.73,G03186
342201547,123.0871,-55.3528,8.43,G03186;G03209
279430029,105.0432,-56.9069,7.98,G03059;G03186;G03209
308542383,121.1788,-62.8363,6.29,G03059;G03186
308748912,122.1026,-63.8008,6.38,G03059;G03186;G03209
341040849,118.0927,-59.493,7.72,G03186;G03209
358467471,119.0656,-61.0994,6.66,G03186;G03209
372913367,119.4413,-60.8263,8.92,G03186;G03209
55295028,76.804,-61.805,9.33,G03059;G03186;G03209
