TICID,RA,Dec,Tmag,Keywords
267687713,9.7673,31.5261,16.45,G07084;G07092;20SECONDTARGET
267885913,11.6185,34.5552,16.32,G07084;G07092;20SECONDTARGET
44560801,7.7912,35.3819,16.82,G07084;G07092
2054138592,358.3264,29.4691,17.08,G07084;G07092;20SECONDTARGET
22572114,3.333,32.7702,16.68,G07084;G07092;20SECONDTARGET
611615925,6.2435,24.976,17.66,G07084;G07092
611741676,5.8875,26.1294,17.11,G07084;G07092
611853501,1.6581,31.0709,17.1,G07084;G07092
245764278,9.872,13.3015,16.44,G07084;20SECONDTARGET
301788905,1.9485,19.8567,16.24,G07084
58765188,6.2958,12.2865,17.39,G07084;G07025;G07092
611385209,12.3728,20.453,16.97,G07084;G07092
2042782309,353.7228,50.0354,17.12,G07084;G07092
2047311914,344.9079,56.4658,17.34,G07084
26517742,354.8384,51.4022,16.83,G07084;G07092;20SECONDTARGET
2013190148,338.1963,48.1199,17.02,G07084
259140053,350.565,36.0957,16.29,G07084;G07092
333323257,353.5055,39.3604,15.85,G07084;G07025;20SECONDTARGET
600589802,15.1068,42.311,16.58,G07084;G07092
601195454,2.4781,46.6215,17.31,G07084;G07092
2012170709,329.8222,51.0489,17.04,G07084;G07092
2019069807,321.9114,59.6323,17.01,G07084
2021867065,336.4131,65.8419,17.23,G07084
434171462,342.6684,63.477,16.33,G07084;G07025;G07092
1978920643,309.3531,57.1465,17.18,G07084
1551501112,273.4907,62.3364,17.3,G07084;G07092
1717573224,289.7181,58.6533,17.35,G07084;G07036;G07092
230029140,292.2239,61.0971,16.46,G07084;G07036;G07092;20SECONDTARGET
230384389,285.8339,60.5986,15.05,G07084;G07036;20SECONDTARGET
233718692,276.1847,60.0334,16.19,G07084;G07036;G07092
229581336,270.3134,72.3136,16.18,G07084;G07036;G07092
264172524,294.5821,69.1535,16.55,G07084;G07036;G07092
441765413,261.6596,77.5598,16.39,G07084;G07036
1271231213,257.805,65.6991,16.98,G07084;G07036
1271250455,254.8123,66.1769,17.29,G07084;G07036;G07092
287150240,253.6192,63.6553,15.91,G07084;G07036
458484139,235.4372,64.8976,15.62,G07084;G07036;20SECONDTARGET
1201194272,248.495,59.2021,17.16,G07084;G07036;G07092;20SECONDTARGET
1400857540,266.4744,60.7035,16.48,G07084;G07036;G07092
199666369,252.1086,59.0542,12.34,G07084;G07036;20SECONDTARGET
