TICID,RA,Dec,Tmag,Keywords
1713909191,287.1253,32.28,19.6,G04211
1859784936,294.3061,27.7206,19.41,G04211
1860645323,291.2863,28.3545,18.97,G04211
1686869255,277.1287,26.839,19.11,G04211
1687798920,271.1428,31.2845,20.47,G04211
22516402,271.7559,30.5624,4.56,G04104;G04211;20SECONDTARGET
313988572,273.2789,26.0308,10.61,G04132;G04214;G04211;G04039;G04191;20SECONDTARGET
85262898,275.8675,28.1667,10.02,G04214;G04186;G04211
156746159,275.3687,14.2321,17.22,G04211
1804524738,282.9644,16.5854,16.73,G04211
1804860181,282.216,17.4379,18.6,G04211
282038438,281.4155,20.5443,3.77,G04211;G04103
286879253,274.2744,13.4669,15.03,G04137;G04200;G04211
317177585,280.294,24.7879,9.35,G04214;G04033;G04211;G04188;G04006;20SECONDTARGET
406883293,274.01,13.9104,8.54,G04211;G04191;G04006
1808841901,288.6654,19.3044,18.09,G04211
1808841920,288.6652,19.3155,18.98,G04211
1811570378,286.8014,20.8771,20.31,G04211
369794540,292.1732,23.9338,14.9,G04211
384491142,286.7701,20.8859,8.7,G04214;G04211;G04006
395665726,287.4649,17.6667,14.18,G04211
233688184,275.3345,61.0145,14.81,G04137;G04200;G04211;20SECONDTARGET
359676790,280.679,59.6411,6.72,G04142;G04211;G04148;G04188;20SECONDTARGET
320524973,264.9716,55.5463,14.46,G04214;G04211
1550468544,278.6519,40.122,18.03,G04211
157587146,279.2363,38.7855,0.32,G04106;G04123;G04125;G04211
193866991,269.5227,46.5528,17.08,G04211
193867007,269.4622,46.5921,9.36,G04214;G04211;G04103;G04006
289325518,277.9925,40.6889,9.58,G04214;G04211;G04006
75627178,270.6941,37.5106,11.63,G04033;G04214;G04211;G04148;20SECONDTARGET
76349243,274.5113,38.7699,10.86,G04033;G04214;G04211;G04148;G04188;20SECONDTARGET
7773413,274.1294,45.5599,8.53,G04211;G04039;G04191;G04006
121013320,286.7038,40.1846,16.3,G04211
138104312,293.4161,39.5243,9.55,G04211;G04006
164669398,284.1101,46.3834,11.27,G04139;G04214;G04211;G04039;20SECONDTARGET
27014175,294.0599,50.221,10.56,G04214;G04211;G04039
48189085,282.6908,47.9713,10.2,G04139;G04214;G04211;G04039;G04191;20SECONDTARGET
63007010,291.8266,42.5305,12.17,G04214;G04211
199666369,252.1083,59.0545,12.34,G04137;G04200;G04211;20SECONDTARGET
356700988,254.5133,70.4486,16.64,G04211
236770208,274.3011,68.5458,12.49,G04214;G04211;G04148;G04178
288405379,267.3904,82.7938,13.98,G04137;G04200;G04211
288634843,278.9702,80.0956,10.59,G04132;G04129;G04214;G04211;G04178;G04039;G04191;20SECONDTARGET
420130591,291.0768,75.5568,11.87,G04129;G04033;G04214;G04211;G04148;G04178;G04006;20SECONDTARGET
1102547628,226.7185,70.4575,16.32,G04211
160422712,235.339,75.9885,9.81,G04129;G04238;G04211;G04006;20SECONDTARGET
10002018424,211.4047,83.8404,15.92,G04211
138421058,92.5849,82.0987,8.32,G04211;G04191;G04006
154903874,197.1865,85.0397,15.3,G04200;G04137;G04211
289972535,118.9595,83.3811,10.43,G04033;G04214;G04156;G04211;G04188;G04234;G04178;20SECONDTARGET
328799321,128.0639,84.41,10.98,G04214;G04211;G04178;G04191
289969774,118.6245,79.1652,17.92,G04211
102885744,128.9409,68.0658,9.37,G04214;G04211;G04191;G04006
147556632,126.4584,69.026,12.06,G04033;G04211;G04148;20SECONDTARGET
202280283,140.3119,73.1087,12.11,G04214;G04211;G04178
207339175,134.9984,72.9621,16.98,G04211
219704346,135.7233,68.065,10.08,G04214;G04033;G04211;G04148;G04178;20SECONDTARGET
