TICID,RA,Dec,Tmag,Keywords
16408173,307.5652,38.6473,12.18,G022208
312228673,303.3311,36.3757,13.69,G022208
137975907,293.095,38.3612,12.0,G022062;G022208
199420503,306.968,30.7913,9.27,G022062;G022208
282368998,311.5787,28.2624,9.56,G022062;G022208
229461186,295.1026,60.9203,10.85,G022062;G022208
229479753,295.6351,64.6951,8.36,G022208
229910746,287.3498,61.8379,10.08,G022208
243286221,288.5712,58.2069,11.06,G022208
243352373,290.2687,56.3285,10.23,G022062;G022208
243354243,290.2621,58.6723,10.46,G022208
359981627,300.2726,66.1612,9.83,G022208
377098752,285.2016,57.8133,7.65,G022208
377190161,285.6751,58.7328,10.11,G022062;G022208
406929271,287.5273,58.6304,11.93,G022208;G022198
237117923,269.8465,54.2814,10.02,G022208
237130278,277.8058,52.7854,11.01,G022062;G022208
284890361,260.4364,54.5592,11.66,G022232;G022062;G022208
332474962,265.3159,54.5661,11.2,G022208
353894978,271.6859,56.407,10.32,G022099;G022208
357099320,275.0042,55.7476,9.03,G022208
359496762,279.1176,56.026,11.98,G022198;G022208
359553260,279.3635,56.2276,11.03,G022208;G022198
359679558,281.0692,55.259,8.82,G022208
389966066,277.0804,55.6741,7.4,G022208
390021728,277.7935,56.4175,11.54,G022062;G022208
47626069,278.7917,51.888,10.83,G022062;G022208
122446076,290.5175,40.6968,10.86,G022062;G022208
164557531,283.7665,47.8191,10.54,G022062;G022208
27843942,296.4419,51.2243,11.83,G022062;G022208
199610813,249.0069,59.7447,12.52,G022141;G022208
233660303,260.1754,65.64,7.31,G022030;G022208
229767960,281.9416,68.3153,11.66,G022208
233733505,277.6206,64.1962,8.18,G022030;G022208
237277760,299.1197,73.6159,8.7,G022062;G022208
237278994,299.6589,72.2383,10.18,G022062;G022208
269595425,300.6415,69.8668,9.7,G022208
441804674,266.0454,72.0509,9.03,G022099;G022103;G022208
362220017,286.0264,78.7528,8.3,G022208
160472514,237.706,72.2112,9.38,G022062;G022173;G022208
270491267,232.36,70.1983,12.95,G022141;G022057;G022158;G022208
272781956,238.24,68.725,9.4,G022062;G022208
155657581,206.3921,79.3971,11.19,G022039;G022240;G022238;G022208
155894704,176.3717,72.2494,10.01,G022062;G022208
142785398,154.5051,75.2244,12.96,G022141;G022208
138578906,175.7594,60.5769,9.1,G022062;G022208
147625755,184.1521,64.8576,11.02,G022062;G022208
