TICID,RA,Dec,Tmag,Keywords
289600366,145.9328,-17.7836,11.03,G05152;G05109;G05087;20SECONDTARGET
396810588,147.7977,-12.3392,8.23,G05109;G05121
418096656,146.1864,-18.2147,9.79,G05152;G05109;G05087;G05121;20SECONDTARGET
46825125,142.2212,-7.3757,9.88,G05152;G05109;G05121
46825126,142.2311,-7.3745,12.1,G05152;G05109
385194991,154.1887,-11.9657,8.77,G05109;G05121
413373646,161.1172,-18.638,11.86,G05152;G05109;G05087;20SECONDTARGET
277888583,157.2276,0.8363,7.56,G05106;G05144;G05109;G05121;20SECONDTARGET
36879392,156.2906,-10.2279,8.21,G05109;G05121
471012416,160.749,-9.209,11.82,G05087;G05109;20SECONDTARGET
55099399,162.0564,-11.3459,11.34,G05070;G05103;G05143;G05152;G05109;20SECONDTARGET
841735027,159.9136,-6.9231,15.32,G05109
383218397,142.6821,0.3191,9.26,G05152;G05109;G05121
77610896,153.0202,-2.6892,18.5,G05109
187123195,134.7774,-31.2294,11.09,G05152;G05109
259999047,144.9387,-41.0653,8.43,G05106;G05109;G05121
35055332,147.7835,-43.5058,6.47,G05144;G05114;G05109;20SECONDTARGET
35845292,149.1573,-42.5778,12.76,G05152;G05109
816493624,138.5665,-41.5759,19.09,G05109
867844953,149.6484,-46.4267,18.49,G05109
101534291,150.2866,-30.386,9.13,G05109;G05121
413248763,144.0078,-21.6672,8.74,G05015;G05144;G05064;G05152;G05003;G05109;G05121;20SECONDTARGET
144654531,131.1579,-48.0845,15.32,G05109
123480402,115.0442,-42.9573,18.94,G05109
768490730,119.2237,-45.6362,18.33,G05109
815676185,130.7926,-46.9913,18.11,G05109
344136084,108.2221,-52.3291,10.39,G05152;G05109
813013632,122.4835,-52.9649,19.66,G05109
359271097,140.3956,-60.2829,17.68,G05109
806707358,121.444,-59.2189,20.74,G05109
807381858,139.099,-62.0687,19.27,G05109
