TICID,RA,Dec,Tmag,Keywords
120311283,284.6395,36.7502,11.77,G04195;G04231
138351298,293.7241,36.1153,11.15,G04195;G04231
358729146,291.0987,21.951,11.52,G04195;G04231
232641326,281.4492,56.3817,11.58,G04195;G04231;G04023;G04242;G04039;G04103
233161762,275.279,60.3626,11.52,G04195;G04231
236815262,283.7434,59.6206,11.45,G04195;G04231
26547036,292.1671,53.4874,9.27,G04195;G04231;G04171;G04242;G04039
287193680,292.4842,57.1609,11.08,G04195;G04231
293880523,296.1067,58.3756,10.24,G04195;G04231
298663873,277.9436,56.6506,8.57,G04195;G04231;G04171;G04242;G04039;G04103
389968073,277.2941,55.3136,10.3,G04023;G04039;G04171;G04178;G04195;G04231;G04242
421308357,288.8181,57.7606,10.36,G04195;G04231;G04039;G04103
421331604,289.1368,54.1116,11.52,G04195;G04231
263931812,276.6004,51.2675,11.03,G04195;G04231
320525204,264.9615,56.079,8.89,G04039;G04051;G04171;G04195;G04231;G04242
335952150,265.5566,53.2039,10.21,G04195;G04231
356978132,273.7817,56.878,9.9,G04195;G04231;G04171;G04023;G04242;G04039
357033670,274.0995,55.5538,11.56,G04195;G04231
123496379,282.7143,45.8388,11.48,G04195;G04231
48139432,282.4664,49.816,11.85,G04195;G04231
219892238,262.5861,66.1665,11.86,G04195;G04231
219898294,263.4641,69.0774,11.74,G04195;G04231
230130556,251.6805,70.0187,10.9,G04195;G04231;G04103
232608943,258.4504,64.5662,11.88,G04195;G04231
441739020,259.0172,72.1612,9.47,G04195;G04231;G04171;G04023;G04242;G04039;20SECONDTARGET
459969957,254.8159,65.7476,11.9,G04195;G04231;G04178;G04242;G04039
229742722,279.8318,69.5229,9.94,G04195;G04231;G04023;G04242;G04039
229748507,280.5372,68.839,11.86,G04195;G04231
229750058,280.6792,66.3032,11.72,G04195;G04231;G04171;G04242;G04039
229940491,288.0495,63.6571,11.12,G04195;G04231;G04171;G04023;G04133;G04242;G04039
233569098,281.8142,64.8066,10.68,G04195;G04231;G04039
233744223,278.419,64.7552,11.77,G04195;G04231;G04171
258389327,296.7104,70.0719,11.82,G04195;G04231;G04171;G04023;G04242;G04039
258799245,286.7296,69.3784,9.59,G04195;G04231
258826816,287.3707,69.7855,9.64,G04195;G04171;G04231;G04051
356868485,275.8233,69.8634,11.31,G04195;G04231
356868487,275.8389,69.8619,11.72,G04195;G04231
441808796,266.4952,72.6361,11.25,G04195;G04171;G04231;G04191
264333501,322.1507,83.0692,11.14,G04195;G04231
288268259,259.5216,79.5759,9.97,G04195;G04231;G04103
288636599,279.7445,79.2384,11.68,G04195;G04231;G04242;G04039
364075352,306.223,74.8374,10.96,G04195;G04231;G04039
367853806,276.2346,75.2705,10.54,G04195;G04231;G04171
156457567,216.8945,77.8618,10.91,G04195;G04231
230085212,246.4097,71.0024,11.8,G04195;G04231
230085213,246.3926,71.0024,11.93,G04195;G04231
230088370,247.3566,71.5059,10.18,G04195;G04231;G04171;G04242;G04039
233190203,225.8669,68.5515,11.05,G04195;G04231
272670038,233.4972,69.3503,10.51,G04195;G04231
313109078,201.148,77.3499,10.46,G04195;G04231;G04103
372758077,173.8339,79.4131,11.45,G04195;G04231
341630071,155.6413,83.0837,10.71,G04195;G04231;G04023;G04242;G04039
138169785,94.9665,72.4843,10.76,G04195;G04231
141488193,105.4046,72.4149,11.04,G04195;G04231
313194972,86.6178,75.0455,11.9,G04195;G04231
445805961,94.2843,76.2111,8.91,G04195;G04231;G04242;G04191;G04039
456306892,118.0653,70.1655,11.83,G04195;G04231
