TICID,RA,Dec,Tmag,Keywords
302201252,9.1972,15.2317,6.04,G05036
51942308,3.309,15.1835,2.62,G05036
271441394,354.5451,59.9821,10.1,G05036
272922818,356.9653,61.0961,10.32,G05036
314833456,346.7865,56.0059,10.1,G05036
326815593,359.5307,61.1958,10.83,G05036
327001065,2.6553,58.7482,7.99,G05036
327364140,4.3587,57.8841,9.79,G05036
346202147,357.1322,55.7681,9.81,G05036
406898276,1.6112,62.5093,10.46,G05036
418409945,0.2019,61.047,11.05,G05036
129538133,344.0984,41.6038,5.77,G05036;G05003
26009357,353.1352,48.3723,8.49,G05036
346338049,344.4197,39.3087,6.34,G05036
316945249,336.1592,56.1577,10.67,G05036
328165300,331.6067,55.3524,11.65,G05036
329136926,332.3369,57.8579,10.26,G05036
329757462,333.0365,57.2722,9.9,G05036
329771294,333.125,54.5599,11.06,G05036
329992262,333.1416,57.258,11.33,G05036
330241794,333.457,54.4097,9.89,G05036
330619041,333.8752,54.8583,11.72,G05036
330733844,334.0609,54.1671,9.86,G05036
335265326,332.19,61.0224,7.28,G05036;G05003
341202567,324.4205,57.5604,8.29,G05036
341315323,324.9351,58.2455,8.85,G05036
358430193,317.5651,53.5631,5.86,G05036
394984092,324.823,52.3624,7.48,G05036
395085556,325.0203,50.3966,10.48,G05036
395218466,335.2184,56.1391,10.96,G05036
407298556,325.9381,62.7715,8.41,G05036
409994572,327.5388,60.18,7.6,G05036
410521615,328.2514,60.6424,7.89,G05036
413171159,329.9566,61.1145,11.76,G05036
414281010,336.7812,54.1816,10.44,G05036
421726141,334.6805,54.6759,11.24,G05036
421786565,334.7554,56.9631,9.9,G05036
422107786,335.7399,55.8809,9.84,G05036
430460842,332.7072,53.2646,9.83,G05036
430806770,333.9859,53.649,11.31,G05036
467547739,337.4081,53.4933,10.38,G05036
469533510,324.1994,57.5839,8.41,G05036
63969423,337.5687,55.5047,11.32,G05036
64077872,337.7222,55.0372,11.18,G05036
64558174,338.4397,56.533,9.32,G05036
64558216,338.4198,56.5263,9.71,G05036
12794506,343.1406,62.3132,8.56,G05036
12797703,343.2091,63.4134,8.33,G05036
12876890,343.3783,62.1349,8.23,G05036
269228628,349.307,60.0077,10.35,G05036
269420539,350.4497,61.7193,9.76,G05036
269423479,350.3568,61.0143,11.11,G05036
279659875,350.711,69.0096,8.69,G05036
282877280,0.8571,63.6405,5.86,G05036
326722305,359.6152,65.9134,10.02,G05036
337886863,337.323,65.1133,7.55,G05036;G05003
338076483,337.8065,65.4662,8.26,G05036
366116053,356.6532,66.7822,5.98,G05036
367696285,343.9408,57.6019,9.96,G05036
368237682,358.0505,67.1687,9.53,G05036;G05151
377895204,348.8195,60.4353,10.26,G05036
378148491,352.2632,60.7712,10.95,G05036
434079611,342.4018,62.3327,8.48,G05036
434263502,344.8188,62.8638,9.29,G05036
434430746,344.9286,62.7773,8.5,G05036
434539805,345.2997,62.9419,7.7,G05036
434723918,345.7561,63.6981,7.6,G05036;G05003
434893323,346.0092,63.3969,7.23,G05036;G05139;G05151;G05003
258461221,300.0167,68.4369,8.06,G05036
269696438,301.6071,68.291,8.72,G05036;G05003
321818578,322.1651,70.5607,3.33,G05036;G05139
360020620,300.3917,70.4546,8.2,G05036;G05143
372342873,331.8102,70.6942,6.93,G05036
387813185,315.404,68.1633,6.77,G05036;G05139;G05151
402894425,302.737,68.2722,6.71,G05036
233387809,301.717,57.3732,9.36,G05036
236872887,302.914,63.5274,7.7,G05036
236996722,305.7264,64.1829,9.07,G05036
256662953,300.7481,65.8615,9.5,G05036
267767305,312.1365,53.9061,7.63,G05116;G05036;G05139
268109716,312.7916,55.4887,7.47,G05116;G05139;G05036
269598007,301.0067,66.0409,9.25,G05036
276653683,308.639,57.9279,8.01,G05036
277502552,310.807,57.114,6.04,G05036
305850608,317.9509,59.9866,6.1,G05036
321335373,313.4674,56.363,7.44,G05036
336340717,314.1699,56.9266,7.55,G05036
344542087,317.6687,57.7063,10.69,G05036
352556540,306.3867,54.6842,7.12,G05116;G05139;G05036
352762746,308.5906,64.6446,10.0,G05036;G05003
365048183,298.3225,57.5235,5.26,G05036
365098683,305.6537,55.2118,10.99,G05036
365277613,306.2312,54.6956,10.55,G05036
375432716,315.9702,55.2303,6.55,G05036
417566526,317.7402,60.2212,9.03,G05036
429221797,313.1803,56.585,7.64,G05036
429412649,314.0709,56.8875,6.4,G05036
467219052,306.7373,58.5284,9.27,G05036
229452839,294.401,64.0166,8.13,G05036
229479255,295.6465,64.0302,9.14,G05036
229966103,289.5486,60.9602,7.21,G05036
233121908,273.3592,64.7659,9.52,G05036
233539736,281.0182,60.77,10.48,G05036
233613741,283.4363,60.0179,7.15,G05116;G05139;G05036
236785664,283.0091,59.6671,6.98,G05116;G05036
243276811,288.2374,58.1078,7.7,G05036
284563819,291.4448,58.0274,6.72,G05036;G05139
287193769,292.5378,57.2435,10.06,G05036
377099704,285.1145,56.5252,8.97,G05036
392569763,280.6581,55.5396,5.12,G05036
229793060,284.7194,69.5314,6.62,G05036
356822358,275.189,71.338,4.14,G05036
376869778,283.3887,75.7875,6.79,G05036
420114700,290.6854,74.6337,8.78,G05036
198279946,250.2761,62.3079,6.78,G05036
199572361,241.5404,61.6255,8.42,G05036
198388195,258.0954,57.2234,8.36,G05036
198456386,261.6738,59.7487,9.86,G05036
199687979,253.212,55.9974,8.71,G05036
224607716,255.8917,57.5,8.18,G05036;G05003
298290403,251.635,56.3768,9.67,G05036
341816971,267.6306,57.4436,8.01,G05036
