TICID,RA,Dec,Tmag,Keywords
140579075,68.221,-77.6084,15.03,G03284;20SECONDTARGET
260892806,72.4679,-81.8664,16.77,G03284;20SECONDTARGET
274213609,29.9016,-84.4069,16.25,G03284;20SECONDTARGET
278181880,108.9816,-80.7359,16.39,G03284;20SECONDTARGET
327856083,359.3679,-86.3522,16.73,G03284;20SECONDTARGET
405476094,14.7246,-86.0559,16.87,G03284;20SECONDTARGET
630659726,20.9811,-86.748,16.61,G03284;20SECONDTARGET
675038317,60.4487,-82.726,17.7,G03284;20SECONDTARGET
724115555,80.9735,-82.6196,15.32,G03284;20SECONDTARGET
764425749,112.9813,-81.9953,15.08,G03284;20SECONDTARGET
24706112,25.6485,-69.6375,16.34,G03284;20SECONDTARGET
259974768,43.2775,-67.4306,16.99,G03284;20SECONDTARGET
425825409,19.1492,-77.1432,17.09,G03284;20SECONDTARGET
612298741,16.8791,-74.9693,17.51,G03284;20SECONDTARGET
613645457,18.9835,-73.3256,17.44,G03284;20SECONDTARGET
630793111,30.8854,-78.0098,14.18,G03284;20SECONDTARGET
630848191,32.8842,-76.1063,15.8,G03284;20SECONDTARGET
630952812,38.4338,-75.0816,14.0,G03284;20SECONDTARGET
631047071,20.8635,-73.2105,18.03,G03284;20SECONDTARGET
650213298,53.8363,-74.2836,15.89,G03284;20SECONDTARGET
140943025,77.3084,-72.7787,17.63,G03284;20SECONDTARGET
231738304,67.0766,-72.5386,17.16,G03284;20SECONDTARGET
231739754,67.2015,-75.6542,16.93,G03284;20SECONDTARGET
238226712,58.8241,-72.0646,15.6,G03284;20SECONDTARGET
25133286,62.2984,-71.2948,13.58,G03284;G03240;G03124;G03071;G03044;20SECONDTARGET
25153759,63.0189,-68.1525,17.32,G03284;20SECONDTARGET
287298253,82.281,-66.0065,16.76,G03284;20SECONDTARGET
287298669,82.29,-66.2576,17.57,G03284;20SECONDTARGET
294977810,72.4212,-69.2899,17.48,G03284;20SECONDTARGET
684404985,78.708,-65.0209,17.54,G03284;20SECONDTARGET
684905448,64.7267,-64.5899,16.89,G03284;20SECONDTARGET
142146238,99.9392,-76.8756,17.39,G03284;20SECONDTARGET
177387396,104.9821,-73.3942,16.17,G03284;20SECONDTARGET
300086410,107.8419,-70.7742,16.98,G03284;20SECONDTARGET
724424609,89.8641,-74.708,17.39,G03284;20SECONDTARGET
724466209,88.3658,-73.9629,16.37,G03284;20SECONDTARGET
724776782,85.2795,-72.9378,16.72,G03284;20SECONDTARGET
735179973,97.1163,-77.812,17.46,G03284;20SECONDTARGET
764653535,115.9315,-74.2559,17.17,G03284;20SECONDTARGET
804791406,120.6812,-74.8185,16.4,G03284;20SECONDTARGET
177118939,104.1639,-67.0379,17.48,G03284;20SECONDTARGET
737123430,93.8404,-64.4414,17.54,G03284;20SECONDTARGET
765351071,105.0705,-65.1461,17.13,G03284;20SECONDTARGET
765434315,105.2922,-63.2006,17.06,G03284;20SECONDTARGET
765549141,111.9611,-64.3586,16.28,G03284;20SECONDTARGET
765684649,111.3732,-62.8818,17.24,G03284;20SECONDTARGET
766204378,108.2174,-60.2812,17.52,G03284;20SECONDTARGET
231819604,86.2054,-52.3314,16.14,G03284;20SECONDTARGET
382042960,79.0502,-56.0113,17.01,G03284;20SECONDTARGET
684974870,69.8522,-59.5905,17.04,G03284;20SECONDTARGET
734469567,80.915,-60.4213,17.44,G03284;20SECONDTARGET
734535817,84.3045,-55.1606,16.57,G03284;20SECONDTARGET
734560548,89.8385,-54.8701,17.4,G03284;20SECONDTARGET
734616311,82.4365,-53.2644,14.41,G03284;20SECONDTARGET
