TICID,RA,Dec,Tmag,Keywords
278181880,108.9817,-80.7359,16.39,G03284;20SECONDTARGET
281977374,130.1085,-76.7825,17.34,G03284;20SECONDTARGET
287833659,127.3069,-77.4952,17.37,G03284;20SECONDTARGET
369959511,173.8049,-85.4266,17.16,G03284;20SECONDTARGET
764425749,112.9813,-81.9953,15.08,G03284;20SECONDTARGET
804549027,128.4624,-82.1833,18.09,G03284;20SECONDTARGET
140579075,68.221,-77.6084,15.03,G03284;20SECONDTARGET
140943025,77.3084,-72.7787,17.63,G03284;20SECONDTARGET
142146238,99.9392,-76.8756,17.39,G03284;20SECONDTARGET
177387396,104.9821,-73.3942,16.17,G03284;20SECONDTARGET
231738304,67.0766,-72.5386,17.16,G03284;20SECONDTARGET
231739754,67.2015,-75.6542,16.93,G03284;20SECONDTARGET
260892806,72.4679,-81.8664,16.77,G03284;20SECONDTARGET
724424609,89.8641,-74.708,17.39,G03284;20SECONDTARGET
724466209,88.3658,-73.9629,16.37,G03284;20SECONDTARGET
724776782,85.2795,-72.9378,16.72,G03284;20SECONDTARGET
735179973,97.1163,-77.8119,17.46,G03284;20SECONDTARGET
177118939,104.1639,-67.0379,17.48,G03284;20SECONDTARGET
300086410,107.8419,-70.7742,16.98,G03284;20SECONDTARGET
765351071,105.0705,-65.1461,17.13,G03284;20SECONDTARGET
765434315,105.2922,-63.2006,17.06,G03284;20SECONDTARGET
765549141,111.961,-64.3586,16.28,G03284;20SECONDTARGET
765684649,111.3732,-62.8818,17.24,G03284;20SECONDTARGET
766204378,108.2174,-60.2812,17.52,G03284;20SECONDTARGET
255559451,96.0311,-52.6258,17.36,G03284;20SECONDTARGET
255559492,95.8994,-52.7335,16.55,G03284;20SECONDTARGET
255559524,95.9521,-52.7802,17.94,G03284;20SECONDTARGET
382042960,79.0502,-56.0113,17.01,G03284;20SECONDTARGET
734535817,84.3045,-55.1606,16.57,G03284;20SECONDTARGET
734560548,89.8385,-54.8701,17.4,G03284;20SECONDTARGET
737123430,93.8404,-64.4414,17.54,G03284;20SECONDTARGET
737578805,95.9603,-52.7121,16.79,G03284;20SECONDTARGET
737578901,96.1119,-52.6685,17.56,G03284;20SECONDTARGET
737648490,93.4356,-51.6476,17.25,G03284;20SECONDTARGET
237925095,57.5368,-61.3137,16.82,G03284;20SECONDTARGET
25153759,63.0189,-68.1525,17.32,G03284;20SECONDTARGET
287298253,82.281,-66.0065,16.76,G03284;20SECONDTARGET
287298669,82.29,-66.2576,17.57,G03284;20SECONDTARGET
294977810,72.4212,-69.2899,17.48,G03284;20SECONDTARGET
364266095,62.7888,-59.1879,16.11,G03284;G03124;G03071;20SECONDTARGET
684404985,78.708,-65.0209,17.54,G03284;20SECONDTARGET
684905448,64.7268,-64.5899,16.89,G03284;20SECONDTARGET
684974870,69.8522,-59.5905,17.04,G03284;20SECONDTARGET
732233859,85.2323,-65.3673,17.93,G03284;20SECONDTARGET
