# TESS Program G06092

Title: Testing Stellar Gyrochronology Models With Wide Binaries

PI: Buzasi, Derek - Florida Gulf Coast University

Type: SMALL

Summary: Gyrochronology is a method of stellar age determination based on the fact that cool stars spin down as they age. Models can be tested using stars of known age, but open clusters are biased towards young stars at only a few specific ages, while few field stars have accurate ages. We will use wide binaries to test gyro models, leveraging the requirement that models must yield the same age for both components of the binary. A subset of our sample consists of systems in which the binary companion is a white dwarf, providing an additional age constraint. 2-minute cadence will allow us to simultaneously examine flare activity levels as a function of age and rotation.


# Sector 070 targets observed (2 min: 164, 20 s: 8)
2052392332,357.5867,-8.1311,11.29,G06092
300965357,1.8401,-4.5572,10.29,G06092
300965358,1.8983,-4.5482,8.53,G06092
37745085,4.3777,-9.3604,12.56,G06092
37745086,4.3591,-9.3607,9.7,G06092
37749850,4.9984,-11.3067,11.5,G06092
434109463,354.8883,-13.0753,12.49,G06092
8963925,354.6046,-9.4666,11.36,G06092
8995204,355.1291,-11.0214,12.45,G06058;G06092
8995205,355.1282,-11.0219,12.62,G06092
9098818,356.9998,-7.5995,9.94,G06092
9098819,357.0236,-7.6009,9.48,G06092
9697982,357.5872,-8.1308,10.94,G06092
9709082,358.1655,-8.6052,12.73,G06092
9710021,358.2891,-8.6052,12.85,G06092
293303829,356.0122,0.3435,11.18,G06092
293303832,356.0348,0.3412,11.05,G06092
354356378,352.1821,7.0528,12.12,G06092
354356384,352.2107,7.0568,12.73,G06092
38335321,352.5729,-2.9914,8.9,G06092
38335324,352.585,-2.9852,12.84,G06092
398636119,357.0938,-0.6044,10.5,G06092
422789441,359.1903,5.6551,10.98,G06092
176130654,342.1118,-5.5996,12.35,G06092
176130655,342.1351,-5.5934,8.82,G06092
250290990,339.4156,-2.1298,11.89,G06092
250291004,339.4266,-2.1681,10.44,G06092
251019579,339.8306,-6.0997,12.76,G06092;G06092
278951275,347.1778,-2.3052,11.17,G06092
293158363,339.0528,0.1449,9.99,G06092
293158373,339.0508,0.1684,9.1,G06092
249648605,341.3563,-10.0438,9.4,G06092
36647428,342.885,-11.0535,11.54,G06092
36647432,342.9003,-11.0692,11.34,G06092
434099474,352.7247,-12.1625,11.94,G06092
434099475,352.7256,-12.1608,12.82,G06092
4554994,348.2913,-9.3587,11.68,G06092
49711058,352.3179,-10.4684,12.58,G06092
5675713,347.2295,-12.5442,11.77,G06092
5675714,347.2269,-12.5459,11.26,G06092
5740408,348.3241,-16.9893,10.67,G06092
5740409,348.3402,-16.9848,9.76,G06092
248352761,17.6181,-4.9601,9.69,G06092
248383185,18.6809,-1.2707,12.54,G06092
248383658,18.7324,-3.7379,11.45,G06092
248385144,18.9429,0.0038,12.14,G06092
248391646,19.738,-1.5898,11.25,G06092
248391904,19.6986,-3.2964,11.19,G06092
248949078,20.8169,-2.1456,10.64,G06092
336890804,17.9227,4.4424,11.34,G06092
336957021,18.9209,0.0517,12.63,G06092
344297824,22.7303,4.1057,10.09,G06092
344714317,15.6045,5.063,7.23,G06200;G06092;20SECONDTARGET
369533738,25.2176,4.7624,10.29,G06092
369533741,25.2239,4.775,9.98,G06092
268127217,11.3392,14.3626,9.09,G06092
