TICID,RA,Dec,Tmag,Keywords
5528993,155.4974,-18.0345,7.14,G03186
147244857,124.9085,-31.8235,8.74,G03186
1748132,132.7252,-26.3515,9.57,G03186
186979808,134.201,-30.1838,8.93,G03186
38118168,136.9244,-29.0033,9.53,G03186
19757483,140.2921,-32.2803,8.58,G03186
3300381,138.9072,-39.2594,10.12,G03186
45598176,148.8278,-38.7628,9.05,G03186;G03059
11559798,149.7762,-23.9508,6.29,G03186
11972111,146.3416,-30.2027,6.56,G03186
189271286,141.687,-28.7877,6.33,G03186
22123033,148.5213,-27.999,7.31,G03186
126899506,137.1144,-52.5777,8.95,G03186
140300162,126.9603,-50.1,7.71,G03186
141898455,130.2121,-46.0959,9.94,G03186
145373620,132.1432,-50.3703,9.12,G03186
145506624,132.474,-48.0608,9.18,G03186
190393155,132.8667,-41.8573,8.72,G03186
190783321,133.858,-41.0788,8.24,G03186;G03059
270742379,132.0579,-44.8727,8.76,G03186
270934336,132.0869,-46.9105,8.87,G03186
271190727,132.353,-47.4886,7.77,G03186
285699059,130.5015,-47.6649,8.64,G03186
29051733,132.6094,-46.5845,10.18,G03186
29122883,132.6491,-45.5489,9.61,G03186
29123001,132.5621,-45.5227,8.67,G03186
294852531,140.3536,-51.1664,10.41,G03186
295099096,140.4934,-51.1765,9.78,G03186
295435513,140.8238,-52.7478,8.69,G03059;G03186
295447503,140.9642,-53.405,9.11,G03186
295581098,140.9825,-51.9622,9.98,G03186
296556502,141.5298,-53.6069,9.71,G03186
29690468,133.3416,-46.0358,8.14,G03186
299022962,143.4798,-53.6351,8.21,G03186
30051402,133.7861,-43.4665,8.07,G03186
30562668,134.2814,-43.2561,5.99,G03186
31062736,135.0927,-43.174,6.27,G03186
31071126,135.0585,-46.6857,8.75,G03186
355553423,137.675,-53.0458,7.84,G03186
400136687,133.7408,-50.864,9.35,G03186
447970564,136.0272,-45.6767,9.41,G03186
75210369,138.6609,-45.576,9.11,G03186
75581184,139.1654,-44.4346,8.8,G03186
90296023,128.0974,-49.6013,6.67,G03186
93999747,130.6902,-48.0865,11.32,G03147;G03186
93999782,130.6933,-48.0904,9.4,G03147;G03186
123211175,114.0597,-42.0822,8.29,G03186;G03059
123828144,116.0648,-43.0178,9.63,G03186;G03059
131104893,117.4676,-40.9145,7.14,G03186
140001327,127.2169,-42.5874,6.41,G03186
140132301,127.3362,-43.8422,9.32,G03186
143543729,118.2995,-45.2187,8.53,G03186
173956099,113.462,-40.9299,9.78,G03186
181506336,131.2584,-41.5162,8.83,G03186
181600430,131.5988,-41.1253,6.26,G03186
182214450,123.2112,-36.2281,7.75,G03186
183817680,126.1469,-40.7469,7.28,G03186
286159211,123.9309,-48.3442,10.2,G03186
52929072,125.8454,-45.753,9.36,G03186
53301259,126.3241,-45.1626,9.1,G03186
80719034,122.0911,-47.1579,8.97,G03186
80899869,122.1731,-42.0563,8.88,G03186
81615536,123.4401,-46.5787,6.67,G03186
81859368,123.7134,-46.4858,6.52,G03186
82370215,124.5117,-45.6421,10.26,G03186
123036723,113.5286,-46.6438,8.76,G03186;G03059;G03209
238074236,104.678,-47.9883,10.41,G03186
238265678,120.1393,-52.3536,9.25,G03186
238314189,120.5162,-50.5281,8.58,G03186
238791674,123.5852,-50.1628,9.94,G03186
268432793,116.9065,-53.1753,9.38,G03186
268502495,116.986,-51.656,8.73,G03186
285916305,119.753,-48.3763,6.95,G03186;G03209
118313102,128.6015,-54.6675,8.22,G03186
121798546,132.3823,-54.8603,9.84,G03186
308542383,121.1788,-62.8363,6.29,G03059;G03186
310645192,129.2195,-63.6276,7.98,G03186;G03209
341040849,118.0927,-59.493,7.72,G03186;G03209
341550561,120.5646,-55.5406,6.73,G03186
342201547,123.0871,-55.3528,8.43,G03186;G03209
356521959,134.3471,-63.497,8.39,G03186;G03209
358467471,119.0656,-61.0994,6.66,G03186;G03209
372913367,119.4413,-60.8263,8.92,G03186;G03209
383285551,134.3141,-58.586,8.67,G03186;G03209
383287960,134.1963,-59.52,9.04,G03186;G03209
383733821,135.1441,-57.1084,8.6,G03186
384471407,136.2656,-58.7676,9.06,G03186;G03209
385626507,138.464,-55.5396,8.21,G03186
386024312,139.0736,-59.2341,8.91,G03186;G03209
436802660,140.7281,-55.7366,9.17,G03186
45155038,129.8305,-55.3668,9.77,G03186
46226875,132.225,-54.2729,8.94,G03186;G03209
308748912,122.1026,-63.8008,6.38,G03059;G03186;G03209
309253079,124.0616,-64.5061,8.87,G03186
279430029,105.0432,-56.9069,7.98,G03059;G03186;G03209
55295028,76.804,-61.805,9.33,G03059;G03186;G03209
