TICID,RA,Dec,Tmag,Keywords
113494080,355.3704,20.0417,9.88,G05121
139351283,344.9229,21.9015,9.4,G05121
243069479,349.3696,19.6124,9.48,G05121
245343189,345.9933,20.9412,8.72,G05121
247985093,352.9728,19.9373,7.9,G05070;G05087;G05121;20SECONDTARGET
247985094,352.9713,19.9369,7.79,G05126;G05144;G05152;G05121;20SECONDTARGET
425652947,349.1643,19.6203,9.29,G05121
435847271,343.6303,23.5189,9.51,G05121
217331269,344.1382,16.5516,6.7,G05070;G05121;20SECONDTARGET
258822427,332.8776,18.4273,8.13,G05121
379746744,340.6688,17.6725,9.48,G05121
411342245,337.1925,18.9309,9.05,G05121
467549713,340.3977,18.8248,9.11,G05121
51659330,336.7071,15.0437,9.68,G05121
310990132,347.0321,3.3306,9.12,G05121
311551677,343.989,5.7534,9.39,G05114;G05121;20SECONDTARGET
402891878,347.2194,6.5611,9.27,G05121
418978178,338.2627,9.3789,8.5,G05109;G05121
354307490,351.5548,8.8952,8.93,G05121
402993451,357.4077,8.358,9.58,G05121
408412672,357.6548,9.9498,9.28,G05121
435204637,350.853,15.5683,9.62,G05121
435246332,352.7227,15.7939,9.71,G05121
119578924,332.8189,41.0167,9.42,G05121
119580026,332.7848,41.7804,9.33,G05121
119588033,332.9977,37.6524,9.06,G05121
120056898,334.7533,41.4177,9.87,G05121
120292737,335.5869,40.007,9.66,G05121
128627365,339.3742,39.3788,7.84,G05121;G05131
128926676,341.0186,40.4994,9.49,G05121
128926677,341.0255,40.4992,9.49,G05121
153943235,341.0834,43.8512,9.76,G05121
153982753,341.3468,45.7854,9.59,G05121
153984162,341.2731,44.8143,9.65,G05121
154101678,341.701,44.3311,7.73,G05126;G05123;G05144;G05145;G05152;G05121;20SECONDTARGET
154304784,342.4777,46.3313,9.79,G05121
154350735,342.5519,45.9842,9.61,G05121
154429221,342.9558,43.0057,9.84,G05121
154556308,343.3671,45.8068,9.8,G05121
154579467,343.5024,42.8708,9.97,G05121
154706624,344.1522,42.812,9.88,G05121
154932603,345.0144,43.9498,9.09,G05106;G05121
199247500,334.0405,43.6315,9.55,G05121
199385597,334.5762,42.3975,9.75,G05121
199626688,335.4064,43.078,9.89,G05121
200291601,338.1533,44.0054,9.72,G05121
260976311,331.1913,39.9179,9.84,G05121
299205810,340.1569,42.1612,9.59,G05121
299207789,340.2104,43.6051,9.37,G05121
331542393,330.5228,44.3434,7.34,G05105;G05144;G05121;20SECONDTARGET
331643639,330.5596,46.8084,9.59,G05121
452772537,332.159,40.4764,9.3,G05121
455699655,342.7134,44.4534,9.34,G05121
468762789,331.9605,45.8758,9.51,G05121
117148947,319.4965,34.0749,9.98,G05121
