TICID,RA,Dec,Tmag,Keywords
206906112,97.2149,11.5319,10.64,G06148;G06032
229285649,98.0242,11.8523,10.77,G06032
306902029,98.0394,17.3805,10.44,G06032
307809773,99.2897,17.5671,7.9,G06124;G06200;G06058;G06155;G06032;20SECONDTARGET
386197662,104.1347,13.4292,10.8,G06032
387690507,103.4129,12.8814,13.53,G06058;G06032
403693875,105.0061,11.0431,13.37,G06032
430093142,96.3195,20.5358,12.85,G06032
438149332,96.0006,14.0129,13.04,G06032
438519486,100.6546,15.6573,12.56,G06148;G06032
47132480,97.6212,19.8618,11.77,G06032
101569583,107.9072,28.9239,12.62,G06032
172033454,97.6193,31.8805,9.45,G06200;G06032;20SECONDTARGET
284326455,99.898,25.4823,12.23,G06165;G06058;G06155;G06032;20SECONDTARGET
367193060,104.4563,25.5153,11.54,G06032
437011608,106.5693,22.683,7.62,G06200;G06032;G06144;20SECONDTARGET
58723861,104.2141,22.5953,10.23,G06148;G06032
69028091,108.0478,30.1043,12.68,G06032
84339983,100.848,27.2521,10.51,G06062;G06165;G06058;G06032;G06142;G06203;20SECONDTARGET
84599716,96.6792,25.205,11.79,G06058;G06032
86396382,97.6366,29.6722,11.1,G06062;G06165;G06058;G06057;G06032;G06142;20SECONDTARGET
86898676,98.5951,24.2356,11.44,G06032
87405719,103.0102,25.2009,12.93,G06148;G06032
91287873,104.7438,28.7155,9.84,G06200;G06032;20SECONDTARGET
115453244,83.654,30.4063,12.23,G06032
115457180,83.8911,31.1645,11.01,G06032
239816546,87.188,32.084,11.98,G06062;G06165;G06058;G06032
312689217,88.9856,34.2658,12.15,G06032
353367071,89.9348,33.507,9.84,G06032
353475866,90.3083,34.773,10.67,G06124;G06165;G06058;G06032;20SECONDTARGET
400381085,91.7472,30.1894,12.41,G06032
76032342,86.0686,28.7915,13.18,G06032
76798849,87.5403,24.7747,12.8,G06032
76882795,87.7188,28.8198,13.21,G06032
79316101,90.0847,26.3532,12.72,G06032
80611440,86.8436,25.626,11.24,G06032
81178747,91.7963,27.622,12.91,G06032
97735908,92.6641,30.9571,8.22,G06062;G06200;G06058;G06194;G06032;G06142;20SECONDTARGET
127229631,84.98,14.303,13.04,G06032
144700903,85.0801,11.5625,12.68,G06165;G06058;G06155;G06032;G06057;20SECONDTARGET
200593988,85.336,11.1944,12.31,G06032
229210014,92.3258,11.4114,12.82,G06032
247518629,85.9672,16.3601,12.27,G06032
247873937,87.8242,13.7459,12.14,G06032
29374525,86.3008,18.4618,11.83,G06032
302976834,83.4504,16.8108,12.95,G06032
319968129,95.3059,20.8785,10.39,G06032
437856897,83.8659,21.2942,8.65,G06165;G06200;G06194;G06032;G06203;G06142;20SECONDTARGET
437893926,94.018,15.2707,12.44,G06032
437984134,94.5453,15.952,8.16,G06032
438057373,95.1827,14.7836,13.24,G06032
45368525,92.3191,20.2737,12.76,G06032
52420398,83.9684,12.9259,11.66,G06032
52517713,84.1642,14.9145,13.28,G06032
91869778,88.8417,15.3784,10.95,G06032
92013169,89.1653,14.7855,9.74,G06032
97568467,90.0626,11.884,9.14,G06165;G06200;G06148;G06032;20SECONDTARGET
97866515,90.6209,16.4994,11.55,G06032
294500964,122.2281,12.2076,10.78,G06120;G06148;G06032;20SECONDTARGET
334482103,123.2729,9.4476,12.47,G06032
366443426,126.6157,10.0804,8.46,G06165;G06200;G06058;G06032;20SECONDTARGET
386620582,124.1529,16.3924,11.35,G06056;G06032
388089437,120.9692,11.1355,11.82,G06032
443961200,124.0171,8.8232,11.39,G06032
468981993,128.7028,8.5694,10.7,G06032
468987719,128.9257,10.2066,12.77,G06165;G06058;G06032
6893917,125.6173,13.7353,9.02,G06040;G06062;G06036;G06165;G06200;G06058;G06032;G06142;20SECONDTARGET
7059054,126.9366,17.5793,12.24,G06165;G06058;G06032
126325149,135.4964,27.4749,13.48,G06032
178217113,127.5787,22.2359,11.05,G06165;G06058;G06032;G06142;20SECONDTARGET
203214081,134.7193,21.0741,11.52,G06124;G06155;G06002;G06032;G06144;20SECONDTARGET
130181866,117.4793,27.3631,6.27,G06040;G06036;G06124;G06165;G06200;G06058;G06001;G06032;20SECONDTARGET
257241363,112.018,30.3214,8.26,G06200;G06032;G06057;20SECONDTARGET
26693519,110.7852,25.5587,10.06,G06032
26826078,111.9164,24.3359,10.28,G06165;G06062;G06058;G06155;G06032;20SECONDTARGET
26865340,112.4778,26.0192,11.48,G06032
371210825,111.5592,32.3837,10.99,G06032
386772576,119.7385,22.7905,12.89,G06032
63189173,118.4831,23.9382,12.8,G06165;G06058;G06032
95122849,114.7419,29.4287,12.05,G06032
95660472,121.8632,29.3886,11.98,G06062;G06165;G06032
14440334,110.6627,16.8657,11.76,G06032
14709225,111.7975,14.9578,12.53,G06032
14770122,113.7583,17.83,11.89,G06062;G06165;G06058;G06032
17746821,118.0635,12.1393,11.32,G06062;G06165;G06058;G06032;G06142;20SECONDTARGET
19025965,119.6276,12.8832,11.45,G06032
19028197,119.7731,15.3911,10.25,G06124;G06165;G06058;G06155;G06032;G06195;20SECONDTARGET
234388232,112.8915,12.0344,9.34,G06200;G06032;20SECONDTARGET
387275908,109.7839,12.7768,11.68,G06032
440775339,108.7219,11.9894,11.19,G06032
440777904,108.8251,14.2626,11.31,G06062;G06165;G06058;G06032;G06057;G06142;20SECONDTARGET
453211454,117.9245,9.3848,7.93,G06200;G06058;G06032;20SECONDTARGET
59575189,109.1928,18.1218,12.55,G06032
62740096,116.0034,20.2089,13.19,G06032
243244680,136.5743,19.402,9.67,G06165;G06200;G06058;G06032;20SECONDTARGET
91987762,144.5551,23.5466,7.41,G06200;G06191;G06058;G06148;G06032;20SECONDTARGET
192982424,142.5868,12.7064,12.23,G06032
262746281,141.1078,5.766,9.74,G06200;G06148;G06032;20SECONDTARGET
270468559,135.3444,6.097,11.56,G06062;G06165;G06058;G06032
270604417,136.5969,3.5677,10.82,G06058;G06032
270649648,136.8527,4.2899,13.13,G06032
286099128,140.8456,2.9325,12.24,G06032
323658120,137.0377,10.6365,10.77,G06148;G06032
323687123,137.2004,11.8627,12.43,G06155;G06032;G06131;20SECONDTARGET
35285308,139.182,14.5924,12.59,G06032
389040826,141.997,4.2131,12.87,G06032
406495245,143.3176,9.1684,8.29,G06200;G06032;20SECONDTARGET
444013020,133.3243,8.523,11.3,G06062;G06165;G06058;G06032;G06142;20SECONDTARGET
458686969,133.8666,10.0453,13.3,G06058;G06032
262736264,149.3665,5.171,12.68,G06148;G06032
344926234,151.5576,3.9465,9.13,G06032
350024178,155.0094,9.3006,13.12,G06032
377064495,148.1849,6.216,9.53,G06165;G06200;G06058;G06032;20SECONDTARGET
377097547,148.601,6.6464,10.81,G06124;G06032;G06131;20SECONDTARGET
453060368,145.8972,0.6151,12.8,G06032
27064468,151.6596,18.634,9.56,G06200;G06032;20SECONDTARGET
63190194,156.6735,13.0186,13.43,G06032
95337971,153.3841,19.9481,12.73,G06032
350348197,166.2697,11.2463,9.19,G06200;G06032;20SECONDTARGET
14344979,163.7888,-0.737,12.34,G06165;G06058;G06032
169226822,160.5588,-3.835,9.63,G06165;G06200;G06058;G06032;G06195;G06142;20SECONDTARGET
169249234,160.8869,-1.9127,12.18,G06032
277833423,156.229,0.4358,12.78,G06032
281731203,163.0323,0.4931,9.96,G06165;G06165;G06200;G06058;G06148;G06032;G06057;20SECONDTARGET
281837575,165.365,5.1395,11.27,G06032
374180079,157.9358,0.9371,10.63,G06165;G06058;G06155;G06092;G06032;20SECONDTARGET
374350678,160.866,3.9587,12.81,G06148;G06032
47384844,162.9649,-5.7887,8.73,G06200;G06032;20SECONDTARGET
144124187,175.8794,-7.2961,11.76,G06148;G06032
281885301,174.9602,0.6036,12.3,G06165;G06058;G06032
35009898,164.7248,-5.5482,12.23,G06032;G06144;20SECONDTARGET
53189332,166.4296,-5.0795,10.99,G06165;G06058;G06057;G06032
380619414,175.9079,6.5638,10.15,G06062;G06165;G06058;G06032;G06142;20SECONDTARGET
