TICID,RA,Dec,Tmag,Keywords
65166720,53.1624,44.8557,6.4,G05036
436850886,40.863,27.7071,4.78,G05036
101163133,54.9821,31.9258,7.32,G05036
101255849,56.0798,32.2882,4.0,G05036
101255981,56.1425,32.1628,8.12,G05036
26390802,56.4132,32.44,8.32,G05036
26432264,56.6703,32.2901,6.58,G05116;G05036;G05151;G05003
346595127,55.3267,28.7027,6.86,G05036
417832801,52.1944,30.3753,6.71,G05036
10242483,27.4061,64.326,9.47,G05036
10348451,27.8629,63.1812,11.03,G05036
10425238,28.5486,62.0338,9.95,G05036
10425404,28.5133,62.0855,10.74,G05036
10497321,28.3532,64.1895,8.86,G05036
10510382,28.5993,63.67,3.42,G05036;G05139
10600199,28.753,63.1883,11.37,G05036
10699123,28.9198,61.1213,10.37,G05036
10703720,28.9804,62.299,10.39,G05036
10800647,29.2424,63.3066,10.52,G05036
10865061,29.1372,63.0824,10.78,G05036
10865119,29.2893,63.067,10.68,G05036
10970388,29.3687,62.779,11.0,G05036
10970421,29.3544,62.7877,10.65,G05036
10972819,29.3856,63.3905,9.98,G05036
11057523,29.4028,65.4101,7.43,G05036
11158867,29.6591,60.0988,10.59,G05036
11241871,30.0322,62.3422,9.89,G05036
11245070,29.8577,62.7676,9.94,G05036
11425840,30.2104,63.0404,10.08,G05036
11426369,30.1804,62.9016,10.26,G05036
11428712,30.2292,62.329,10.18,G05036
12112858,32.6289,64.092,9.02,G05139;G05036
12550826,33.3095,64.1546,10.63,G05036
12743469,33.804,64.0244,7.53,G05036;G05139
13773736,37.5641,61.395,12.62,G05036
14041815,38.063,62.0033,11.71,G05036
285684866,31.5357,63.3699,10.12,G05036
285910268,32.1893,65.0374,7.2,G05036;G05139
351687248,13.3134,66.9095,9.52,G05036
352575219,20.032,69.0992,8.58,G05036
353317633,29.0004,68.6852,5.09,G05036
354696715,38.3608,70.9565,7.87,G05116;G05036
372627092,25.9064,60.4975,10.25,G05036
372722475,25.8525,63.6034,8.53,G05036
372722483,25.7904,63.6054,9.31,G05036
372723747,25.7646,63.9646,10.45,G05036
372723969,25.767,64.0241,10.01,G05036
372724051,25.8982,64.0352,10.49,G05036
372724060,25.7679,64.037,9.88,G05036
372724095,25.7872,64.0415,10.34,G05036
372724218,25.7796,64.0694,9.67,G05036
372794004,26.0303,64.1926,10.75,G05036
372797542,25.9855,63.2625,9.88,G05036
372797960,26.1333,63.1643,9.64,G05036
373625906,26.9215,62.5111,11.14,G05036
373626836,26.9102,62.7746,10.84,G05036
373902815,28.3155,62.5468,9.1,G05036
373905641,28.0997,63.3487,10.62,G05036
374033955,30.2803,62.4015,10.67,G05036
374038418,30.4342,61.0536,8.82,G05036
374211629,31.3826,64.287,7.94,G05036
374211973,31.2561,64.3856,6.85,G05036
389531769,22.5256,63.9175,10.24,G05036
389532846,22.5255,63.5825,9.6,G05036
390115255,24.0046,63.6398,8.81,G05036
390115938,24.0789,63.4212,10.13,G05036
390122587,24.1606,61.4316,10.25,G05036
390123083,24.0647,61.3071,10.44,G05036
390170755,24.2524,60.9337,10.94,G05036
399203510,26.29,61.2038,10.77,G05036
399207942,26.2778,62.8308,9.71,G05139;G05036
399355361,26.4076,61.1331,11.59,G05036
399436782,26.6484,61.2275,11.64,G05036
399436828,26.6625,61.235,10.63,G05036
399442321,26.7545,63.0811,9.82,G05036
400735422,30.5477,62.842,9.15,G05036
400899986,17.3045,69.6865,6.66,G05036
408618608,43.3564,68.7507,9.45,G05036
417483496,35.3394,68.0812,9.1,G05036
417547686,35.4964,70.9314,9.5,G05139;G05036
422259764,21.8276,63.6022,10.58,G05036
444747979,25.1735,62.5888,9.94,G05036
444790896,25.2198,64.1731,8.13,G05036
444824639,25.5586,63.6075,9.86,G05139;G05036
444825748,25.6,63.2572,9.66,G05036
444827048,25.456,62.8656,11.45,G05036
458879750,35.6891,62.4269,10.96,G05036
54469882,19.5112,65.2916,9.81,G05036
54625756,20.6122,64.5901,10.35,G05036
54801159,20.946,65.629,8.93,G05036
252173629,16.6403,58.9031,11.43,G05036
256415412,15.4965,61.0941,11.03,G05036
283136444,13.3982,60.7857,10.08,G05036
284212543,9.2985,62.825,9.02,G05036
285122116,12.2974,64.1894,10.69,G05036
326815593,359.5307,61.1958,10.83,G05036
327001065,2.6553,58.7482,7.99,G05036
327364140,4.3587,57.8841,9.79,G05036
331381612,17.7609,59.3638,10.34,G05036
331782797,18.4241,59.0993,9.82,G05036
332158408,19.3419,58.8882,9.65,G05036
332499008,19.8459,58.3056,9.54,G05036
332499085,19.8874,58.2904,10.95,G05036
332499097,19.8677,58.2883,10.02,G05036
332806992,20.8309,57.6477,9.84,G05036
359432517,4.7411,63.572,8.53,G05036
366102698,7.0464,64.1311,10.48,G05036
366108295,7.1571,62.4882,10.08,G05036
370128780,21.9786,59.2358,9.68,G05036
406898276,1.6112,62.5093,10.46,G05036
406965391,5.6104,61.8277,11.07,G05036
418409945,0.2019,61.047,11.05,G05036
419246605,6.5967,62.7608,9.39,G05036
420552068,11.3013,63.9664,10.56,G05036
421117635,11.3961,63.3521,9.85,G05036
422540366,21.9614,60.2817,10.93,G05036
428380374,5.4595,64.5951,8.91,G05036
428415975,5.5142,62.1851,8.19,G05036
428544477,9.6744,61.8531,9.36,G05036
444357430,5.9567,62.3232,9.68,G05036
444457513,8.0833,63.1202,10.52,G05036
445301243,13.0636,56.6522,11.18,G05036
445301417,13.1513,56.6,10.75,G05036
445380881,14.532,55.8244,8.13,G05036
52696829,16.8441,60.634,10.5,G05036
53709049,17.8007,61.1017,11.35,G05036
53963880,18.3609,60.6215,11.26,G05036
53968952,18.5152,60.8831,7.11,G05036
54371344,19.139,60.1755,10.42,G05036
83807611,3.7655,63.5458,10.24,G05036
308954763,24.8035,51.822,9.33,G05036
332367505,19.4599,55.4454,7.54,G05036
370269139,22.1627,56.3512,10.26,G05036
13356421,36.5249,59.9967,9.86,G05036
245470639,38.9613,58.5891,11.02,G05036
245499872,39.1811,56.707,9.77,G05036
245719692,40.5811,58.0916,10.08,G05036
251196433,43.3684,58.3258,9.62,G05036
251250184,43.9028,59.4112,9.94,G05036
251250634,43.7394,59.266,10.07,G05036
251576935,45.72,59.4687,11.25,G05036
264612228,34.5563,57.3586,9.63,G05036
264613043,34.6243,57.1509,9.18,G05036
264613302,34.4577,57.0904,8.58,G05036
264613619,34.596,57.0102,8.23,G05036
264613665,34.5447,56.9979,11.0,G05036
264615882,34.5001,56.2326,8.76,G05036
264730003,34.6997,57.0673,8.75,G05036;G05139
264730031,34.6782,57.0726,10.23,G05036
264731122,34.7001,57.2855,9.03,G05036
322338879,36.7368,57.2349,9.9,G05036
347486043,33.0799,57.9409,8.9,G05036
347684339,33.5838,55.0593,9.44,G05036
348023621,34.1634,56.7378,8.19,G05139;G05036
348137080,34.3149,56.898,9.07,G05139;G05036
348137274,34.2687,56.9687,9.85,G05036
348231245,34.913,57.2703,9.89,G05036
348231788,35.0506,57.1124,10.86,G05036
348231861,34.917,57.092,9.63,G05036
348314199,35.2203,56.9257,8.96,G05036
348443241,35.3865,57.5686,9.91,G05036
348506748,35.2935,56.8656,8.22,G05036
348506791,35.2983,56.8539,9.3,G05036
348607417,35.6512,57.0818,9.76,G05036
348607492,35.4815,57.0996,10.67,G05036
348607604,35.5357,57.1245,8.91,G05036
348607672,35.5116,57.1403,9.69,G05036
348607991,35.6244,57.208,9.22,G05036
348608238,35.6741,57.2833,10.21,G05036
348668924,35.8099,58.1637,10.16,G05036
348671480,35.7366,57.1956,10.37,G05036
348671609,35.704,57.1539,9.72,G05036
348671634,35.7095,57.1474,11.61,G05036
348671822,35.6814,57.0868,8.95,G05036
348672027,35.7363,57.0134,9.51,G05036
372115570,37.5585,57.6751,9.63,G05036
372194781,38.021,56.6662,9.01,G05036
384915921,48.7216,59.1011,9.38,G05036
384917937,48.7956,59.9119,9.06,G05139;G05036
445619007,36.0047,58.3239,9.04,G05036
445663879,36.4374,57.3201,9.24,G05139;G05036
82010075,48.8198,59.9136,8.49,G05036;G05139
12794506,343.1406,62.3132,8.56,G05036
12797703,343.2091,63.4134,8.33,G05036
12876890,343.3783,62.1349,8.23,G05036
269228628,349.307,60.0077,10.35,G05036
269420539,350.4497,61.7193,9.76,G05036
269423479,350.3568,61.0143,11.11,G05036
271441394,354.5451,59.9821,10.1,G05036
279659875,350.711,69.0096,8.69,G05036
326722305,359.6152,65.9134,10.02,G05036
337886863,337.323,65.1133,7.55,G05036;G05003
338076483,337.8065,65.4662,8.26,G05036
366116053,356.6532,66.7822,5.98,G05036
368237682,358.0505,67.1687,9.53,G05036;G05151
368595456,359.3047,69.1616,9.67,G05036
377895204,348.8195,60.4353,10.26,G05036
378148491,352.2632,60.7712,10.95,G05036
434079611,342.4018,62.3327,8.48,G05036
434263502,344.8188,62.8638,9.29,G05036
434430746,344.9286,62.7773,8.5,G05036
434539805,345.2997,62.9419,7.7,G05036
434723918,345.7561,63.6981,7.6,G05036;G05003
434893323,346.0092,63.3969,7.23,G05036;G05139;G05151;G05003
265427823,358.4209,76.5826,8.31,G05036
274986192,9.4406,72.8948,6.99,G05036
331811163,6.4635,71.8071,6.94,G05036;G05151
402831061,16.1896,79.4462,10.79,G05036
406682032,359.3334,72.8592,7.75,G05036
426142205,358.7932,72.4603,8.74,G05036
435742094,18.8782,81.4798,9.9,G05036
264075158,309.0027,79.4304,7.06,G05036
236996722,305.7264,64.1829,9.07,G05036
269696438,301.6071,68.291,8.72,G05036;G05003
321818578,322.1651,70.5607,3.33,G05036;G05139
349920226,305.1764,66.6937,9.19,G05036
352762746,308.5906,64.6446,10.0,G05036;G05003
360020620,300.3917,70.4546,8.2,G05036;G05143
372342873,331.8102,70.6942,6.93,G05036
387813185,315.404,68.1633,6.77,G05036;G05139;G05151
402894425,302.737,68.2722,6.71,G05036
407298556,325.9381,62.7715,8.41,G05036
411853476,329.0667,62.8946,7.67,G05036
229452839,294.401,64.0166,8.13,G05036
229479255,295.6465,64.0302,9.14,G05036
229793060,284.7194,69.5314,6.62,G05036
229966103,289.5486,60.9602,7.21,G05036
233121908,273.3592,64.7659,9.52,G05036
