TICID,RA,Dec,Tmag,Keywords
176220787,0.3258,-8.9262,9.48,G06062;G06165;G06200;G06058;G06032;G06203;G06142;20SECONDTARGET
176279915,0.76,-7.7865,11.89,G06032
301035553,3.0352,-4.6129,13.18,G06032
37718056,4.1464,-10.9764,11.71,G06062;G06165;G06058;G06032
407997410,359.7135,-4.9611,12.39,G06032
250111245,355.8286,-2.0451,13.98,G06032
262662119,349.0635,0.3067,12.18,G06165;G06058;G06032
267215820,356.4812,0.4587,12.46,G06032
301235044,350.9173,-1.1891,10.03,G06058;G06155;G06032;G06195;20SECONDTARGET
301289516,351.7726,-1.2848,9.07,G06124;G06200;G06058;G06155;G06032;20SECONDTARGET
354173595,349.7663,7.9153,10.82,G06124;G06032;G06131;20SECONDTARGET
398572544,353.6163,-1.58,11.62,G06062;G06165;G06058;G06032
250330564,340.969,-1.8387,12.94,G06032
251039147,340.5916,-6.871,8.2,G06200;G06032;20SECONDTARGET
278892590,346.6285,-5.0446,13.85,G06165;G06058;G06002;G06155;G06032;G06195;G06034;G06132;20SECONDTARGET
36592530,342.386,-10.6754,10.93,G06062;G06165;G06058;G06032;G06142;20SECONDTARGET
402319411,353.5404,-14.8601,12.92,G06032
404243877,347.7043,-7.8576,13.18,G06165;G06058;G06032
415969908,343.7078,-18.9128,11.3,G06124;G06032;20SECONDTARGET
4610830,348.949,-10.8498,11.5,G06058;G06032
4619242,349.289,-9.436,13.02,G06032
248387177,19.1307,-0.2901,11.24,G06058;G06148;G06032
376981340,19.6103,6.8166,12.81,G06165;G06058;G06032
380887434,19.4725,5.4697,9.17,G06124;G06200;G06032;G06144;G06131;20SECONDTARGET
380907135,19.5506,2.7028,10.56,G06062;G06165;G06058;G06032;G06142;20SECONDTARGET
302202317,9.3399,13.859,13.07,G06032
369477998,15.8866,9.9139,12.13,G06032
384888319,16.9695,12.8809,10.14,G06124;G06032;20SECONDTARGET
398912927,18.554,19.4705,10.81,G06032
336691874,6.5293,14.3364,12.01,G06032
244161191,4.8838,-5.9117,13.17,G06030;G06120;G06032;20SECONDTARGET
272146465,9.2066,2.1307,12.24,G06032
306204904,30.1831,20.023,12.49,G06148;G06032
306263608,30.9054,21.2816,8.57,G06200;G06058;G06032;G06057;20SECONDTARGET
270380593,32.7823,2.4183,10.73,G06165;G06058;G06155;G06032;G06057;20SECONDTARGET
293457754,26.7932,3.1329,12.36,G06165;G06032
336961891,30.8849,6.8156,11.98,G06124;G06002;G06032;G06131;20SECONDTARGET
337025682,32.2492,8.0571,13.06,G06032
337129672,33.6305,8.0788,10.6,G06032
347469901,28.7216,8.8576,13.44,G06032
420049884,36.2765,1.3235,10.66,G06058;G06032
420051632,36.3639,1.0574,9.47,G06200;G06032;20SECONDTARGET
422653398,29.0012,0.1797,11.02,G06032
422655579,29.2635,0.7588,10.16,G06062;G06165;G06058;G06032;G06203;G06142;20SECONDTARGET
258804746,37.7662,8.3814,9.52,G06200;G06058;G06032;20SECONDTARGET
387544178,44.2451,7.8593,12.44,G06148;G06032
408824640,39.065,13.5042,12.5,G06032
21119973,36.1367,24.1016,13.49,G06032
246965431,35.2137,23.5202,12.08,G06032;G06144;20SECONDTARGET
247409676,42.1763,20.8094,12.39,G06032
408643099,35.9112,15.4829,13.19,G06032
408743161,36.5818,15.8904,12.57,G06032
426448042,40.202,18.8218,13.46,G06032
436843539,40.4512,24.1023,12.43,G06032
436873727,42.5584,25.3335,7.13,G06200;G06191;G06032;G06148;G06144;20SECONDTARGET
